name,price,description,link
Meindl San Francisco Gore-Tex Wandelschoen,"€159,95",Waterdichte wandelschoenen voor prachtige wandelingen en tochten door heuvels en bos.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Lowa Renegade Gtx Mid,"€219,95",Wandelschoen voor middelgebergte met een waterdichte en ademende Gore-Tex voering.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Lowa Innox Pro GTX Mid Wandelschoenen,"€199,95",Lichte allrounder met goede demping en voorzien van een waterdicht en ademend membraan.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Lowa Renegade Gtx Mid,"€209,95",Wandelschoen voor middelgebergte met een waterdichte en ademende Gore-Tex voering.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Hanwag Banks GTX Wandelschoenen,"€259,95",Waterdichte schoen voor wandelingen door de Nederlandse polder tot een huttentocht.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Meindl Quebec Mid Gore-Tex Comfort Fit Wandelschoen,"€219,95",Sportieve en halfhoge wandelschoen met extra brede leest - voorzien van een waterdicht en ademend membraan.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Meindl Vakuum Walker GTX Wandelschoen,"€259,95",Ga met droge voeten door het bos of over bergpaadjes met deze stabiele en waterdichte wandelschoen.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Meindl Vakuum Ultra Gore-Tex Wandelschoenen,"€249,95",Multifunctionele wandelschoen van gewaxt nubuckleer en voorzien van een waterdicht en ademend membraan.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Meindl Respond Mid II Gore-Tex Wandelschoen,"€189,95",Sportieve en halfhoge wandelschoen - voorzien van waterdicht membraan.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Jack Wolfskin Refugio Texapore Mid Wandelschoen,"€129,95",Robuuste en waterdichte wandelschoen van suède met een gripvaste rubberen zool.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Meindl Ohio II Wandelschoenen,"€219,95","Fijne, halfhoge wandelschoen met een comfortabele leren voering.",https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Meindl Sahara Wandelschoenen Unisex,"€194,95",Ademende wandelschoen voor tochten in warme gebieden.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Grisport Valencia Mid Wandelschoen,"€169,95",Halfhoge en en luxe wandelschoen voorzien van een waterdicht en ademend membraan.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Lowa Innox Pro Gore-Tex Low Wandelschoen,"€169,95",Waterdichte allrounder voor de serieuze buitensporter.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Meindl Matera Gore-Tex Wandelschoen,"€214,95",Stijlvolle wandelschoen voor in de stad en milde natuurpaden – voorzien van waterdicht en ademend membraan.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Lowa Locarno GTX Wandelschoenen,"€174,95","Comfortabele, waterdichte lage wandelschoen die bijzonder stijlvol is.",https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Hanwag Gritstone II GTX Wandelschoenen,"€219,95","Soepele en waterdichte wandelschoen ideaal voor lange wandeltochten, stedentrips en heerlijke struintochten door de natuur.",https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Meindl Lugano Comfort Fit Wandelschoenen,"€224,95",Soepele lage en extra brede wandelschoen voor wandelaars met een brede voet.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
adidas Terrex AX4 Wide Wandelschoen,"€119,95",Ga over technische paden met deze robuuste en ademende trailschoen - gemaakt met Primegreen.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
On Running Cloudwander Waterproof Schoen,"€189,95",Performance wandelschoen voor hiking in meerdere weersomstandigheden.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
The North Face M Vectiv Taraval Futurelight,"€139,95",Ga in stijl over bospaadjes en ontdek steden met deze retro-wandelsneaker voorzien van waterdicht en ademend membraan.,https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
Meindl Activo Sport GTX Comfort Fit Wandelschoenen,"€174,95","Waterdichte, lichtgewicht schoen met bredere pasvorm en naadloos bovenwerk.",https://www.bever.nl/c/heren/schoenen/wandelschoenen.html/p/lowa-innox-evo-gore-tex-lo-wandelschoenen-HABCC60022.html?colour=6385
